영어,뜻,예문,논문
sophisticated,정교한,requires a sophisticated semantic understanding of 3D scenes.,오윤선_Task-Aware Semantic Map++: Cost-Efficient Task Assignment With Advanced Benchmark
conventional,기존의,conventional scene representations,
attribute,"특징, 속성",rely on static attributes like visual information,
infer,추론하다,allowing robots to infer context-awareactions.,
construct,"만들어내다, 작성하다",construct a map,
assign,할당하다,assigns appropriate tasks,
holistic,전체적인,holistic context,
centric,중심의,"While prior work like TASMap pioneered this task-centric approach,",
pioneer,개척하다,"While prior work like TASMap pioneered this task-centric approach,",
synthesis,합성,a multi-view synthesis pipeline,
predecessor,전임자(이전 모델),improved computational efficiency over its predecessor,
derived from,~에서 유래되다,we established a reliable benchmark derived from the consensus,
consensus,합의, the consensus of 32 participants across 231 cluttered scenes. ,
cluttered,어수선한, the consensus of 32 participants across 231 cluttered scenes. ,
across,(전반에)걸쳐,the consensus of 32 participants across 231 cluttered scenes,
superior,우수한,TASMap++ demonstrates superior accuracy over baselines,
baseline,기준치,TASMap++ demonstrates superior accuracy over baselines,
paradigm,패러다임, a paradigm distinct from conventional object grounding,
distinct from ,~와 구별되는, a paradigm distinct from conventional object grounding,
grouding,연결하는 과정(로보틱스 용어), conventional object grounding that relies on visual and spatial attributes,
downstream application,후속 응용 작업,We present a downstream application of TASMap++,
experimentally,실험적으로,show experimentally that conventional grounding methods,
struggle in,어려움을 겪다,show experimentally that conventional grounding methods struggle in this setting,
finding,결과,To confirm these findings,
practicality,"실용성, 현실성",the framework’s robustness and practicality,
validate,검증하다,the framework’s robustness and practicality were validated through extensive experiments,
cornerstone,주춧돌,scene representation is a cornerstone,
to date,지금까지,"To date, ~~",
instrumental,중요한,scene representation have been instrumental in solving robotics tasks,
predominantly,대부분,"existing approaches have predominantly relied on low-level semantic information,",
tidy,"깔끔한, 정리하다",a tidy desk / tidy a cluttered room,
depict,(그림으로) 묘사하다,as depicted in Fig 1,
crumpled,구겨진,crumpled clothes,
straighten,(자세를) 똑바르게 하다,Straighten the trash can,
inherently,선천적으로,an object-by-object basis is inherently inefficient,
capable,가능한,a robot should be capable of autonomously inferring necessary actions,
capability,능력,they lack the capability to reason,
group,모이다,since these methods group objects based on relevance,
explicit,분명한,without explicit user commands.,
redundant,불필요한,a high volume of redundant tasks,
pose,제기하다,These limitations pose a formidable barrier,
formidable,어마어마한,These limitations pose a formidable barrier,
shortcomings,"단점, 결점",To address these shortcomings,
segmentation,분할,3D segmentation module to capture,
geometry,기하학적 구조,to capture the geometry of objects,
encapsulate,"요약하다, 압축하다",encapsulate the object's overall status,
subsequently,그 다음에,Subsequently,
stitch,봉합하다,TASMap++ stitches these multiple views into an integrated representation,
annotation,주석,collecting annotations from 32 human participants,
configuration,"배치, 구성",By utilizing the same scene configurations,
consistency,일관성,experimental consistency,
methodology,방법론,the precious evaluation methodology.,
unlike,~와 달리,Unlike conventional grounding tasks,
necessitate,필요로 하다,context-aware grounding necessitates analyzing the context,
prompt,프롬프트,"Our code,prompts,and the human-annotated benchmark are publicly available at ~",
outperform,능가하다,outperforms baselines across diverse environments,
pivotal,중심(축)이 되는,3D semantic maps are pivotal for robotic tasks like planning,
prominent,중요한,semantic mapping has become a prominent research area.,
heterogeneous,여러 종류로 이뤄진,CUA-O3D [10] extends this by fusing heterogeneous foundation models via distillation.,
fuse,융합하다,CUA-O3D [10] extends this by fusing heterogeneous foundation models via distillation.,
distillation,증류,CUA-O3D [10] extends this by fusing heterogeneous foundation models via distillation.,
inconsistencies,불일치,LEGaussians address mapping inconsistencies by employing feature codebooks and adaptive feature aggregation.,
employ,사용하다,LEGaussians address mapping inconsistencies by employing feature codebooks and adaptive feature aggregation.,
adaptive,적응형의,LEGaussians address mapping inconsistencies by employing feature codebooks and adaptive feature aggregation.,
aggregation,집합,LEGaussians address mapping inconsistencies by employing feature codebooks and adaptive feature aggregation.,
granularity,세분화,adjusting object granularity,
decompose,분해하다,decomposing instructions to align scene representations with specific tasks,
align,일치시키다,decomposing instructions to align scene representations with specific tasks,
causality,인과관계,yet their clutter often results from random placement rather than contextual causality.,
placement,배치,yet their clutter often results from random placement rather than contextual causality.,
crucially,결정적으로 ,"Crucially, existing datasets lack representations of realistic object states (e.g., stained, dusted)",
stained,얼룩진,"Crucially, existing datasets lack representations of realistic object states (e.g., stained, dusted)",
exhibit,보여주다,we establish a reliable benchmark based on consensus among annotators on scenes exhibiting realistic clutter.,
annotator,주석자,we establish a reliable benchmark based on consensus among annotators on scenes exhibiting realistic clutter.,
leverage,활용하다,Advancements in 3D Visual Grounding leverage LLM,
fidelity,충실함,high visual fidelity,
phrase,(말로) 표현하다,humans frequently phrase directives indirectly,
encode,"부호화하다, 표현하다",This representation encodes both the state of each object,
intervention,개입,If no intervention is required,
denote,의미하다,where N denotes the total number of objects,
discrete,별개의,discrete tasks,
feasible,실현 가능한,feasible for the robot to execute,
in principle,원칙적으로,"In principle, ~",
prune,가지치기,Prune dead leaves,
untangle,(엉킨 것을) 풀다,untangle cables,
arise,발생하다,contain clutter arising from random,
household,가정(집),household scenarios,
odorous,냄새,"‘Odorous’, ‘Laundry-Piled’, ‘Disordered’, ‘Unsanitary’",
unsanitary,비위생적,"‘Odorous’, ‘Laundry-Piled’, ‘Disordered’, ‘Unsanitary’",
span,(범위를)포함하다,"spanning 35 houses, 231 rooms",
scattered,흩어져 있는,ingredients remain scattered throughout the kitchen,
stove,가스레인지,the stove is left on(스토브가 켜져있다.),
ajar,열려있는,drawers are ajar,
retain,유지하다,we retain only tasks ,
correlation,상관관계,Correlation matrix showing task co-occurrence based on user annotations.,
occurrenece,발생,Correlation matrix showing task co-occurrence based on user annotations.,
diagonal,대각선의,main diagonal,
hue,"색조, 빛깔",blue hues,
mop,닦아내다,,
dispose,배치하다,,
associate,연관짓다,each object is associated with 1302 tasks,
deviation,편차,standard deviation,
plausible,현실적인,the annotations are selective and plausible,
quantify,정량화하다,to more explicitly quantify annotator bias in TASMap,
corresponding,해당하는,a corresponding set of evalution,
pseudo,실제 정답은 아니지만 정답처럼 사용되는 것, we regard as pseudo ground truth,
attain,이르다,attain similar agreement scores,
substantially,"상당히, 주로",the substantially lower Jaccard and F1 scores,
taken together,종합적으로,"Taken together, these results",
behave,동작하다,TASMap behaves like a single annotator label,
inherit,물려받다,TASMAp inherits individual-preference,
curated,(전문가에 의해)선별된,curated object instance,
segmentation,"나누다, 반할하다",which segments P into Pi,
descending order,내림차순,descending order of coverage,
inference,추론,running inference over the entire set,
subset,부분집합,a subset of frames,
acutal,실제의,actual observed depth map,
projected,예상된,projected 3D points,
refined,정제된,refined mask,
tolerance,"허용 오차, 관용",the tolerance for the strictness of visibility,
threshold,임계값,The threshold C,
enclose,포함하다,it exactly encloses the object mask M,
occupancy,"사용, 점유",occupancy ratio,
enlarged,"커진, 확대된",an enlarged object-centered view,
sufficient,충분한,a sufficient portion of the object,
bias,"편향값, 편향을 갖게 하다",Single-view inputs can bias MM-LLMs,
facet,측면,one facet (stained chair may look clean from behind),
mitigate,완하하다,To mitigate this,
composite,합성의,composite grid image,
rationale,이유,The prompt Q includes chain-of-thought rationales,
criteria,기준,with their selection criteria,
directive,지시,pharse their directives to robots,
convey,전달하다,convey intent,
misaligned ,어긋난,Misaligned object,
reason,추론하다,go beyond simple object dectection to reason about the object's context,
faucet,수도꼭지,a faucet that is currently turned on,
yet,동시에,"a problem fundamentally different from, yet strictly more complex than, the standard visual grounding tasks",
canonical,표준의,canonical state,
centroid,중심,the centroid of its point cloud,
extent,"범위, 정도",its physical extent,
comprehensive,포괄적인,comprehensive validation,
viability,실현 가능성,the viability of our proposed method with experiments,
thoroughly,철저히,thorougly investigate the result,
metrix,평가 지표,Evaluation Metrics,
absent,존재하지 않는,absent task classes,
configure,환경을 설정하다,TASMap is configured based on the 3D segmentation results,
ambiguity,모호성,reduce ambiguity caused by single-view inputs,
compromise,악화시키다,bathing does not compromise task-assingment quality,
yield,산출하다,yields the same,
consolidated,통합된,consolidated view per object,
firmly,"확고히, 단단히",Faucet is firmly shut,
contaminated,오염된,Rag contaminated with red dust,
dispose,배치하다,the trash bin is marked Dispose,
neatly,단정하게,The neatly hung Red top,
domestic,가정의,diverse domestic scenarios,
nuanced,미묘한,"TASMap++ demonstrates nuanced, context-aware task assignments",
rigorously,엄격히,To rigorously evaluate context-aware grounding performance,
supplement,"보충, 보충하다",supplemented by Average Precision,
lift,들어올리다,3D feature maps by lifting 2D CLIP embeddings,
ranging from A to B,A부터 B까지 다양한,"We also compare against large model-based frameworks, ranging from ZS3DVG [21]’s use of LLM-generated visual programs to the direct multi-view analysis via MM-LLMs employed by VLM-Grounder [24] and SeeGround",
compositional,복잡한,compositional semantics of complex queries,
margin,차이,outperforming baselines by a wide margin.,
underscore,"분명히 보여주다, 강조하다",These results underscore that,
To tackle this,이 문제를 해결하기 위해,"To tackle this, we present an application of TASMap++ as a solution",
incremental,점진적,incremental task-aware semantic map,
scheme,계획,post-processing scheme,
plausible,그럴듯한,LLMs often produce responses that sound plausible,
incorporate,포함하다,incorporate a comprehensive set of evaluation metrics,
coherence,일관성, explicitly validating the logical coherence of the generated plans,
justification,정당성,Our approach offers clearer justifications for feedback,
infeasible,실행 불가능한,Infeasible plans,
syntactically,문법적으로,syntactically sound but are non-executable by robots,
constrained,제한된, it is constrained by their reliance on fixed rules
retreive,검색하다,retreive relevant information from the scene representation,
coherent,일관된,generate coherent plans,
fall short,부족하다, processes often fall short in long-horizon planning tasks,
linguistic,언어적인,linguistic understanding,
prehensile, (물건을) 잡을 수 있는,prehensile capabilities,
purview, 범위,and falls within the purviewof self-supervised training,
fall within, 해당되다,and falls within the purviewof self-supervised training,
resemble,닮다,This approach closely resembles themasked languagemodeling technique,
proprioceptive,고유 감각의,proprioceptive feedback,
concatenate,연결하다,concatenate the proprioceptive feedback with the visual input,
encompass,포괄하다,encompass objectives aimed at endowing the model,
endow,부여하다,encompass objectives aimed at endowing the model,
preceding,앞서 언급한,preceding work has primarily focused on visual and linguistic understanding,
hindsight, 사후, hindsight control,
latent, 숨어 있는, latent state,
crafted, 제작된, crafted prompts,
auxiliary, 보조의, auxiliary loss,
standalnone, 독립형, stand-alone model,
prompt, 지시하다, DECKARD [59] prompts an LLM to generate abstract,
incrementally, 점진적으로, incrementally refining the plan through feedback,
interleave,백지를 삽입하다,ReAct interleaves reasoning traces,
culminate, 절정에 달하다,culminates in a final plan,
converge, 한 점에 모이다,plans converge to a final solution,
magnitude,크기,an order of magnitude in scale
meticulously,세심하게, a meticulously collected dataset
iteratively,반복적으로,iteratively refining the plan through feedback,
comprehensive,포괄적인,comprehensive evaluation,
autoregressive,자기 회귀적인,autoregressive decoding,
delineate, 윤곽을 그리다, delineate the plan into discrete steps,
intricate, 복잡한, intricate reasoning traces,
infeasible, 실행 불가능한, infeasible plans,
coarse, 조잡한, coarse plans,
bimanual, 양손의, bimanual manipulation,
heterogeneous, 여러 종류로 이뤄진_이질적인, heterogeneous tasks,
rectified, 수정된, rectified plans,
kinematic, 운동학적인, kinematic constraints,
intuitive, 직관적인, intuitive feedback,
invoke, 호출하다, invoke the LLM to generate a plan,
coordinate, 좌표, object coordinate,
cast, 처리하다, PIVOT casts robotic tasks
iteratively, 반복적으로, iteratively refining the plan through feedback,
equivalent, 동등한, equivalent to the original plan,
terminology, 용어, This terminology is analogus to the distinction
analogus, 유사한, This terminology is analogus to the distinction
emergent, 새롭게 나타나는, emergent behaviors,
counterpart, 대응물, counterpart to RT-2-X,
inherit, 상속하다, inherit RT-2-X’s ability to perform zero-shot task planning,
devise, 고안하다, devise a novel method to enhance RT-2-X’s performance,
progressively, 점진적으로, progressively refine the plan through feedback,
post, ~후, post training,
autoregressive, 자기 회귀적인, autoregressive decoding,
constitute, 구성하다, constitute a significant advancement,
fine-grained, 세밀한, fine-grained motion,
impose, 부과하다, impose limitations,
parse, 분석하다, parse the user’s instructions,
monolithic, 하나로 통짜인, monolithic Task Planner,
empower, ~에게 힘을 부여하다, empower them,
tactile, 촉각의, tactile and thermal,
dialog, 대화, 3D-assisted dialog,
admissible, 허용가능한, the admissible,
corrective, 교정의, corrective actions,
harness, 활용하다, planner harnesses the capabilties of an LLM,
departure, 출발, a departure from the conventional methodology,
aid in, ~에 도움을 주다, aids in replanning,
underlying, 근본적인, underlying models
impede, 방해하다, the process is impededby the cost and time required toprocure roboticequipment,
procure, 조달하다,  the process is impededby the cost and time required toprocure roboticequipment,
elusive, 잡히지 않는,  reproducing setups remain elusive,
circumvent, 일주하다, to circumvent real-world ,
resort to, ~에 의존하다, Researchers resort to simualted environments,
chief, 격차, chief among which is the sim-to-real gap,
discrepancy, 차이, this discrepancy,
rigid, 딱딱한, non-rigid entities such as deformable objects,
entity, 독립체, non-rigid entities such as deformable objects,
deformable, 변형 가능한, non-rigid entities such as deformable objects,
yield, 제공하다, yield fair comparison,
fidelity, 충실, improve fidelity,
augment, 증가시키다, augmenting language instructions,
procedurally, 절차적으로, RoboPoint generates scenes procedurally,
egocentric, 자기 중심의, some data are egocentric,
mitigate, 완화하다, mitigate these issues,
pinpoint, 정확히 찾아내다, this approach fails to pinpoint issues in LLMs,
formalize, 명확한 구조로 정의하다, formalizing the input-output of LLM-based modules,
matrix, 행렬, matrix, 
metric, 평가지표, fine-grained metrics,
akin, 비슷한_동족의, EQA is akin to traditinal VQA,
causal, 인과 관계의, causal relationship,
utterance, 발성, verval utterance,
paramount, 가장 중요한, safety is paramount in robotics,
salient, 눈에 띄는, salient locations,
hinder, 방해하다, two large models can be redundant and may hinder scalability,
redundant, 중복된, two large models can be redundant and may hinder scalability,
scalability, 확장성, two large models can be redundant and may hinder scalability,
fashion, 방식, in an end-to-end fashion,
obsolete, 쓸모없게 된, obsolete action,
immense, 거대한, VLA models hold immense promise,
alongside, 함께,  the first survey to review LVLAs alongside generalized VLAs,
meticulously, 꼼꼼하게, We meticulously analyze,
regression, 회귀, regression models,
from scratch, 처음부터, rather than trianing new behaviors from scratch,
stem, 유래하다, stemming from the priors captured,
extrapolate, 외삽하다, the capacity to extrapolate behaviors to new initial conditions,
stem, 유래하다, stemming from the priors captured,
instantiation, 구체화, an instantiation of a general VLA framework,
build off, 기반으로 발전시키다, building off of strong foundation models,
commodity, 범용 제품, commodity hardware can reduce deployment costs,
comfort, 편안함, the robot should operate without compromising user comfort,
span, 걸치다, the dataset spans several years of robot demonstrations,
compromise, 손상시키다, reducing model size may compromise task performance,
converged, 수렴한, multiple research directions have converged into VLA models,
span, 걸치다, the demonstrations span multiple robot embodiments,
out-of-the-box, 바로 사용 가능한, the model works out-of-the-box on several manipulation tasks,
learning to stitch, 이어 붙이는 법을 학습하는 것, the policy is learning to stitch short actions into a long-horizon behavior,
scalable pipeline, 확장 가능한 파이프라인, OpenVLA provides a scalable pipeline for training and fine-tuning VLA models,
infrastructure, 인프라, the paper describes the infrastructure used for training and inference,
concatenate, 이어 붙이다, visual and language tokens are concatenated before being passed to the decoder,
preliminary, 예비의, preliminary experiments show promising results,
interleave, 교차 배치하다, image tokens and text tokens are interleaved in the input sequence,
discretize, 이산화하다, continuous robot actions are discretized into action bins,
otherwise drastically, 그렇지 않으면 급격하게, this design avoids otherwise drastically increasing the action space,
effective granularity, 유효한 세분화 정도, the number of bins determines the effective granularity of action prediction,
opt for simplicity, 단순성을 택하다, we opt for simplicity and use a fixed action discretization scheme,
overwrite, 덮어쓰다, the new action tokens overwrite the least used tokens in the vocabulary,
least used, 가장 적게 사용된, action tokens are mapped to the least used tokens in the tokenizer,
pooled into, 하나로 모아진, demonstrations from multiple datasets are pooled into a single training corpus,
coherent, 일관된, the model generates coherent action sequences from language instructions,
throughout, 전반에 걸쳐, the same preprocessing strategy is used throughout all experiments,
jeopardize, 손상시키다, poor action discretization can jeopardize downstream policy performance,
final third, 마지막 3분의 1, the final third of the trajectory contains the object manipulation phase,
concretely, 구체적으로, the method concretely tokenizes each action dimension into discrete bins,
exploration, 탐색, exploration is necessary when the robot lacks sufficient environment information,
apart from, ~을 제외하고, the model uses visual observations apart from language instructions,
image resolution, 이미지 해상도, increasing image resolution improves visual detail but raises computation cost,
quadratically, 제곱에 비례하여, attention cost increases quadratically with the number of tokens,
latter, 후자, the latter approach is more efficient for large-scale training,
intuitively, 직관적으로, larger models can intuitively capture more complex action patterns,
typical, 전형적인, a typical VLA model consists of a vision encoder language model and action decoder,
swept, 범위를 바꿔가며 실험했다, we swept over different learning rates during fine-tuning,
magnitude, 규모, the model size differs by a large magnitude,
order of magnitude, 10배 규모, OpenVLA was trained on an order of magnitude more demonstrations than previous models,
subset, 부분집합, subsets of the openx dataset,
orient, 방향을 맞추다, the robot must orient the gripper toward the object,
orientation, 방향, the policy predicts the position and orientation of the end-effector,
insecurely, 불안정하게, the object is insecurely grasped by the robot,
fused, 융합된, visual and proprioceptive inputs are fused before action prediction,
ablation, 제거 실험, the ablation study shows the effect of each module,
can be attributed, ~에 기인할 수 있다, the improvement can be attributed to better action tokenization,
filter out, 걸러내다, the preprocessing step filters out failed demonstrations,
stationary, 정지한, the object remains stationary during the initial phase,
imitation, 모방, imitation learning uses expert demonstrations to train the policy,
resulting, 그 결과의, the resulting policy performs better on long-horizon tasks,
is denoted by, ~로 표시된다, the action sequence is denoted by a_t:t+k,
denote, 나타내다, τ denotes a trajectory of states and actions,
omit, 생략하다, the method omits reward labels during imitation learning,
pour, 붓다, the robot learns to pour water into a cup,
knock object over, 물체를 넘어뜨리다, the robot should avoid actions that knock object over,
attest, 입증하다, these results attest to the robustness of the model,
either, 둘 중 하나의, either policy can be used for action prediction,
vary, 달라지다, performance may vary across different robot embodiments,
result in, 초래하다, poor discretization can result in unstable actions,
representative, 대표적인, OpenVLA is a representative open-source VLA model,
serving, 역할을 하는, the language instruction acts as a condition serving the policy,
suffer, 겪다, large models may suffer from high inference cost,
throughput, 처리량, batching improves training throughput,
overhead of the quantization operation, 양자화 연산 부담, the overhead of the quantization operation increases inference time,
proprioceptive, 고유수용감각의, proprioceptive states include joint angles and gripper position,
avenue, 방향성, this approach opens a new avenue for robot learning,
varying, 다양한, the model is evaluated under varying task conditions,
underexplored, 충분히 연구되지 않은, reasoning in VLA remains underexplored,
acknowledgements, 감사의 글, the acknowledgements section lists funding and contributors,
